,date_card,place_card,weight_class,method,round,time,type,order,first_fighter_res,first_fighter,second_fighter,second_kd,first_sig_str_,second_sig_str_,first_sig_str_percentage,second_sig_str_percentage,first_total_str,second_total_str,referee,agg_height_first,agg_weight_first,agg_reach_first,agg_stand_first,agg_dob_first,agg_slpm_first,agg_str_acc_first,agg_sapm_first,agg_str_def_first,agg_td_avg_first,agg_td_acc_first,agg_td_def_first,agg_sub_avg_first,agg_recodr_first,agg_nickname_first,agg_fighter_name_first,agg_last_updated_first,agg_height_second,agg_weight_second,agg_reach_second,agg_stand_second,agg_dob_second,agg_slpm_second,agg_str_acc_second,agg_sapm_second,agg_str_def_second,agg_td_avg_second,agg_td_acc_second,agg_td_def_second,agg_sub_avg_second,agg_recodr_second
0,8-Feb-20,"Houston, Texas, USA",Light Heavyweight, Decision - Unanimous ,5,5:00,belt,1,W,Jon Jones,Dominick Reyes,0,104 of 166,116 of 259,62%,44%,107 of 170,119 of 263,Dan Miragliotta,"6' 4""",205 lbs.,"84""",Orthodox,19-Jul-87,4.3,57%,2.22,64%,1.85,44%,95%,0.4,Record: 26-1-0 (1 NC),Bones,Jon Jones,57:28.3,"6' 4""",205 lbs.,"77""",Southpaw,26-Dec-89,4.77,50%,3.73,48%,0.36,28%,80%,0.4,Record: 12-3-0
1,8-Feb-20,"Houston, Texas, USA",Women's Flyweight, KO/TKO ,3,1:03,belt,2,W,Valentina Shevchenko,Katlyn Chookagian,0,40 of 65,17 of 56,61%,30%,57 of 82,27 of 68,Jacob Montalvo,"5' 5""",125 lbs.,"66""",Southpaw,7-Mar-88,3.02,51%,1.99,62%,2.64,63%,77%,0.4,Record: 21-3-0,Bullet,Valentina Shevchenko,57:28.3,"5' 9""",125 lbs.,"68""",Orthodox,28-Dec-88,4.57,35%,4.37,62%,0.25,15%,52%,0.4,Record: 16-4-0
2,8-Feb-20,"Houston, Texas, USA",Heavyweight, KO/TKO ,1,1:59,,3,L,Juan Adams,Justin Tafa,1,7 of 11,10 of 15,63%,66%,7 of 11,10 of 15,Jeff Rexroad,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,7.09,55%,4.06,34%,0.91,66%,57%,0,Record: 5-3-0,The Kraken,Juan Adams,57:28.3,"6' 0""",264 lbs.,"74""",Southpaw,13-Dec-93,5.15,55%,6.12,49%,0,0%,100%,0,Record: 4-3-0
3,8-Feb-20,"Houston, Texas, USA",Featherweight, Decision - Split ,3,5:00,,4,L,Mirsad Bektic,Dan Ige,0,17 of 60,43 of 88,28%,48%,29 of 74,64 of 117,Kerry Hatley,"5' 8""",145 lbs.,"70""",Orthodox,16-Feb-91,2.43,41%,1.8,57%,3.98,52%,92%,0.4,Record: 13-4-0,,Mirsad Bektic,57:28.3,"5' 7""",145 lbs.,"71""",Orthodox,6-Aug-91,3.95,46%,3.36,58%,1.68,27%,59%,0.5,Record: 15-3-0
4,8-Feb-20,"Houston, Texas, USA",Heavyweight, Decision - Unanimous ,3,5:00,,5,W,Derrick Lewis,Ilir Latifi,0,20 of 50,5 of 12,40%,41%,27 of 58,62 of 77,Dan Miragliotta,"6' 3""",260 lbs.,"79""",Orthodox,7-Feb-85,2.59,50%,2.16,44%,0.52,26%,54%,0,Record: 25-7-0 (1 NC),The Black Beast,Derrick Lewis,57:28.3,"5' 10""",230 lbs.,"73""",Orthodox,28-Jul-83,1.84,39%,2.86,56%,2.02,34%,100%,0.4,Record: 16-8-0 (1 NC)
5,8-Feb-20,"Houston, Texas, USA",Middleweight, Decision - Split ,3,5:00,fight,6,W,Trevin Giles,James Krause,0,71 of 148,44 of 80,47%,55%,88 of 167,59 of 98,Jacob Montalvo,"6' 0""",185 lbs.,"74""",Orthodox,6-Aug-92,3.26,56%,1.88,62%,1.37,80%,79%,0.3,Record: 14-2-0,,Trevin Giles,57:28.3,"6' 2""",170 lbs.,"73""",Orthodox,4-Jun-86,4.79,49%,4.11,61%,0.96,18%,59%,0.9,Record: 28-9-0
6,8-Feb-20,"Houston, Texas, USA",Women's Flyweight, Decision - Split ,3,5:00,,7,W,Lauren Murphy,Andrea Lee,0,80 of 197,104 of 267,40%,38%,107 of 228,107 of 271,Jeff Rexroad,"5' 5""",125 lbs.,"67""",Orthodox,27-Jul-83,3.95,40%,4.25,61%,1.16,34%,70%,0.1,Record: 15-4-0,Lucky,Lauren Murphy,57:28.3,"5' 6""",125 lbs.,"69""",Orthodox,11-Feb-89,5.48,50%,3.68,64%,1.95,52%,57%,0.9,Record: 12-5-0
7,8-Feb-20,"Houston, Texas, USA",Welterweight, KO/TKO ,1,0:27,perf,8,L,Alex Morono,Khaos Williams,1,1 of 4,10 of 17,25%,58%,1 of 4,10 of 17,Kerry Hatley,"5' 11""",170 lbs.,"72""",Orthodox,16-Aug-90,5.05,42%,3.69,56%,0.43,25%,52%,0.4,Record: 19-7-0 (1 NC),The Great White,Alex Morono,57:28.3,"6' 0""",170 lbs.,"77""",Orthodox,30-Mar-94,4.39,45%,2.95,44%,0,0%,0%,0,Record: 11-2-0
8,8-Feb-20,"Houston, Texas, USA",Bantamweight, KO/TKO ,2,1:41,perf,9,L,Miles Johns,Mario Bautista,1,13 of 44,18 of 67,29%,26%,13 of 44,18 of 67,Dan Miragliotta,"5' 7""",135 lbs.,"66""",Orthodox,30-Mar-94,3.33,48%,2.42,68%,1.21,30%,87%,0,Record: 11-1-0,Chapo,Miles Johns,57:28.3,"5' 9""",135 lbs.,"69""",Switch,1-Jul-93,5.71,45%,4.78,54%,0.48,33%,70%,0,Record: 8-2-0
9,8-Feb-20,"Houston, Texas, USA",Bantamweight, KO/TKO ,1,0:38,,10,L,Domingo Pilarte,Journey Newson,1,1 of 4,6 of 10,25%,60%,1 of 4,7 of 13,Jacob Montalvo,"6' 0""",135 lbs.,"73""",Southpaw,5-Jan-90,2.04,50%,3.69,42%,2,42%,75%,1.3,Record: 8-2-0 (1 NC),Son of Fire,Domingo Pilarte,57:28.3,"5' 5""",135 lbs.,"67""",Orthodox,7-Mar-89,2.76,32%,2.76,65%,0,0%,0%,0.9,Record: 9-3-0 (1 NC)
10,8-Sep-07,"London, England, United Kingdom",Welterweight, KO/TKO ,1,4:10,,9,W,Jess Liaudin,Anthony Torres,0,38 of 67,13 of 26,56%,50%,46 of 76,28 of 42,Mario Yamasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8-Feb-20,"Houston, Texas, USA",Bantamweight, Decision - Split ,3,5:00,,11,W,Andre Ewell,Jonathan Martinez,0,80 of 177,66 of 142,45%,46%,85 of 184,74 of 151,Kerry Hatley,"5' 8""",135 lbs.,"75""",Southpaw,21-Jan-88,4.42,41%,4.25,52%,0.29,66%,70%,0.1,Record: 17-7-0,Mr. Highlight,Andre Ewell,57:28.3,"5' 8""",135 lbs.,"70""",Southpaw,20-Apr-94,4.27,46%,3.81,58%,0.48,37%,63%,0,Record: 13-4-0
12,8-Feb-20,"Houston, Texas, USA",Featherweight, Decision - Unanimous ,3,5:00,,12,L,Austin Lingo,Youssef Zalal,0,12 of 61,31 of 55,19%,56%,16 of 68,49 of 80,Jeff Rexroad,"5' 10""",145 lbs.,"70""",Orthodox,10-Jul-94,3.57,44%,3.17,62%,1,66%,76%,0,Record: 8-1-0,Lights Out,Austin Lingo,57:28.3,"5' 10""",145 lbs.,"72""",Switch,4-Sep-96,2.51,50%,1.74,64%,2.33,29%,56%,1.2,Record: 10-5-0
13,18-Jan-20,"Las Vegas, Nevada, USA",Welterweight, KO/TKO ,1,0:40,perf,1,W,Conor McGregor,Donald Cerrone,0,19 of 26,0 of 1,73%,0%,20 of 27,0 of 1,Herb Dean,"5' 9""",155 lbs.,"74""",Southpaw,14-Jul-88,5.32,49%,4.54,54%,0.7,55%,67%,0,Record: 22-5-0,The Notorious,Conor McGregor,57:28.3,"6' 1""",170 lbs.,"73""",Orthodox,29-Mar-83,4.43,46%,4.49,53%,1.18,33%,74%,1.2,Record: 36-16-0 (2 NC)
14,25-Jan-20,"Raleigh, North Carolina, USA",Heavyweight, KO/TKO ,2,1:06,,1,W,Curtis Blaydes,Junior Dos Santos,0,28 of 60,7 of 30,46%,23%,29 of 62,7 of 30,Dan Miragliotta,"6' 4""",265 lbs.,"80""",Orthodox,18-Feb-91,3.59,53%,1.7,57%,6.64,54%,33%,0,Record: 14-3-0 (1 NC),Razor,Curtis Blaydes,57:28.3,"6' 4""",238 lbs.,"77""",Orthodox,30-Jan-84,4.49,47%,3.33,56%,0.3,50%,81%,0.1,Record: 21-9-0
15,25-Jan-20,"Raleigh, North Carolina, USA",Welterweight, Decision - Unanimous ,3,5:00,,2,L,Rafael Dos Anjos,Michael Chiesa,0,14 of 36,9 of 51,38%,17%,23 of 52,54 of 107,Kevin MacDonald,"5' 8""",155 lbs.,"70""",Southpaw,26-Oct-84,3.49,46%,3.22,61%,1.93,37%,58%,0.6,Record: 30-13-0,,Rafael Dos Anjos,57:28.3,"6' 1""",170 lbs.,"75""",Southpaw,7-Dec-87,1.89,40%,1.71,54%,3.6,52%,68%,0.9,Record: 18-4-0
16,25-Jan-20,"Raleigh, North Carolina, USA",Flyweight, Submission ,1,2:33,perf,3,L,Jordan Espinosa,Alex Perez,0,2 of 13,2 of 9,15%,22%,2 of 13,16 of 23,Dan Miragliotta,"5' 6""",125 lbs.,"69""",Orthodox,8-Nov-89,4.22,52%,2.94,57%,0.75,28%,70%,0.2,Record: 15-9-0 (1 NC),The Gamer,Jordan Espinosa,57:28.3,"5' 6""",125 lbs.,"65""",Orthodox,21-Mar-92,4.62,47%,3.08,61%,2.92,45%,87%,1.3,Record: 24-6-0
17,25-Jan-20,"Raleigh, North Carolina, USA",Women's Strawweight, KO/TKO ,2,4:26,,4,L,Hannah Cifers,Angela Hill,0,46 of 108,70 of 155,42%,45%,50 of 114,80 of 170,Kevin MacDonald,"5' 1""",115 lbs.,"62""",Orthodox,26-Jun-92,4.99,44%,5.39,52%,0.26,100%,64%,0.3,Record: 10-7-0,Shockwave,Hannah Cifers,57:28.3,"5' 3""",115 lbs.,"64""",Orthodox,12-Jan-85,5.66,50%,4.98,64%,0.45,36%,76%,0.1,Record: 13-9-0
18,25-Jan-20,"Raleigh, North Carolina, USA",Light Heavyweight, Decision - Unanimous ,3,5:00,,5,W,Jamahal Hill,Darko Stosic,0,101 of 233,31 of 72,43%,43%,102 of 236,32 of 81,Dan Miragliotta,"6' 4""",205 lbs.,"79""",Southpaw,19-May-91,7.5,52%,3.6,45%,0,0%,57%,0,Record: 8-1-0 (1 NC),Sweet Dreams,Jamahal Hill,57:28.3,"6' 0""",205 lbs.,"76""",Orthodox,9-Feb-92,2.61,45%,4.04,58%,3.42,50%,83%,0,Record: 13-4-0
19,25-Jan-20,"Raleigh, North Carolina, USA",Middleweight, Decision - Unanimous ,3,5:00,,6,W,Bevon Lewis,Dequan Townsend,0,36 of 82,28 of 65,43%,43%,94 of 146,55 of 99,Kevin MacDonald,"6' 3""",185 lbs.,"79""",Orthodox,5-May-91,3.73,43%,2.67,54%,0,0%,66%,0,Record: 7-3-0,,Bevon Lewis,57:28.3,"6' 3""",205 lbs.,"79""",Orthodox,11-May-86,1.23,34%,3.92,38%,0,0%,46%,0,Record: 21-12-0
20,25-Jan-20,"Raleigh, North Carolina, USA",Featherweight, Decision - Unanimous ,3,5:00,,7,W,Arnold Allen,Nik Lentz,0,63 of 131,49 of 172,48%,28%,68 of 137,63 of 190,Wayne Spinola,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,2.96,40%,2.15,66%,1.44,50%,76%,0.4,Record: 17-1-0,Almighty,Arnold Allen,57:28.3,"5' 8""",145 lbs.,"68""",Orthodox,13-Aug-84,3.44,47%,3.25,50%,3.3,32%,43%,1.2,Record: 30-12-2 (1 NC)
21,25-Jan-20,"Raleigh, North Carolina, USA",Women's Flyweight, Decision - Unanimous ,3,5:00,,8,W,Justine Kish,Lucie Pudilova,0,62 of 129,29 of 143,48%,20%,66 of 135,47 of 165,Kevin MacDonald,"5' 5""",125 lbs.,"64""",Orthodox,13-Apr-88,4.51,48%,4.59,57%,0.87,33%,50%,0.1,Record: 7-4-0,,Justine Kish,57:28.3,"5' 8""",125 lbs.,"67""",Orthodox,13-Jun-94,4.15,36%,4.09,52%,0.16,12%,61%,0.6,Record: 8-6-0
22,25-Jan-20,"Raleigh, North Carolina, USA",Bantamweight, Decision - Unanimous ,3,5:00,,9,W,Montel Jackson,Felipe Colares,0,75 of 103,7 of 28,72%,25%,96 of 130,8 of 31,Dan Miragliotta,"5' 10""",135 lbs.,"75""",Southpaw,24-Apr-92,3.77,55%,1.5,56%,4.15,77%,66%,0.2,Record: 10-2-0,Quik,Montel Jackson,57:28.3,"5' 8""",135 lbs.,"69""",Orthodox,31-Mar-94,2.15,51%,4.22,38%,2,23%,38%,0.8,Record: 10-2-0
23,25-Jan-20,"Raleigh, North Carolina, USA",Women's Bantamweight, Decision - Unanimous ,3,5:00,,10,W,Sara McMann,Lina Lansberg,0,38 of 50,1 of 5,76%,20%,62 of 84,36 of 51,Larry Carter,"5' 6""",135 lbs.,"66""",Orthodox,24-Sep-80,2.32,45%,1.94,48%,4.41,65%,50%,0.5,Record: 12-6-0,,Sara McMann,57:28.3,"5' 7""",135 lbs.,"65""",Orthodox,13-Mar-82,2.76,57%,3.7,44%,0.71,33%,50%,0.1,Record: 10-5-0
24,25-Jan-20,"Raleigh, North Carolina, USA",Bantamweight, Submission ,3,2:53,fight,11,W,Brett Johns,Tony Gravely,0,36 of 47,26 of 44,76%,59%,65 of 80,43 of 66,Wayne Spinola,"5' 7""",135 lbs.,"71""",Orthodox,21-Feb-92,2.86,49%,3.84,53%,4.92,49%,58%,1,Record: 17-2-0,The Pikey,Brett Johns,57:28.3,"5' 5""",135 lbs.,"69""",Orthodox,28-Sep-91,4.01,54%,3.11,45%,6.11,54%,52%,0.6,Record: 21-6-0
25,25-Jan-20,"Raleigh, North Carolina, USA",Featherweight, KO/TKO ,1,2:43,perf,12,W,Herbert Burns,Nate Landwehr,0,7 of 17,4 of 9,41%,44%,7 of 17,6 of 11,Larry Carter,"5' 9""",145 lbs.,"73""",Orthodox,2-Feb-88,1.67,45%,5.02,33%,4.64,83%,75%,2.8,Record: 11-3-0,The Blaze,Herbert Burns,57:28.3,"5' 9""",145 lbs.,"72""",Orthodox,6-Jun-88,7.02,50%,7.67,51%,0,0%,85%,0,Record: 14-4-0
